hero,pick_rate,ban_rate,win_rate
安琪拉,,,
亚瑟,,,
项羽,,,
妲己,,,
嬴政,,,
孙尚香,,,
鲁班七号,,,
庄周,,,
刘禅,,,
高渐离,,,
阿轲,,,
钟无艳,,,
孙膑,,,
扁鹊,,,
白起,,,
芈月,,,
吕布,,,
周瑜,,,
元歌,,,
狄仁杰,,,
达摩,,,
典韦,,,
曹操,,,
宫本武藏,,,
李白,,,
马可波罗,,,
武则天,,,
司马懿,,,
老夫子,,,
关羽,,,
貂蝉,,,
程咬金,,,
露娜,,,
姜子牙,,,
李元芳,,,
刘邦,,,
韩信,,,
兰陵王,,,
王昭君,,,
杨戬,,,
女娲,,,
哪吒,,,
蔡文姬,,,
太乙真人,,,
干将莫邪,,,
鬼谷子,,,
东皇太一,,,
百里守约,,,
百里玄策,,,
弈星,,,
伽罗,,,
盾山,,,
沈梦溪,,,
李信,,,
上官婉儿,,,
瑶,,,
云中君,,,
曜,,,
镜,,,
澜,,,
夏洛特,,,
司空震,,,
